dit,rfc,cam,amc,buggy
1,66,0.416667,96.8,TRUE
1,8,1,0,FALSE
2,31,0.4,113,FALSE
1,42,0.3,78.571429,TRUE
1,26,0.2,27.166667,TRUE
1,26,0.6,56.2,FALSE
1,31,0.333333,42.75,FALSE
1,17,0.333333,13.5,FALSE
2,35,0.5,84.2,FALSE
1,23,0.4375,14.2,FALSE
1,12,0.555556,7.833333,FALSE
2,39,0.242857,19.8,TRUE
1,43,0.4,33.857143,TRUE
1,28,0.3,25.5,FALSE
1,6,1,7,TRUE
1,22,0.5,24.5,FALSE
1,45,0.3,31.8,TRUE
1,6,0.458333,0,FALSE
2,42,0.5,73,FALSE
2,32,0.555556,75.333333,TRUE
1,37,0.25974,24.75,TRUE
1,20,0.475,13.5,FALSE
1,45,0.4,37.777778,TRUE
1,33,0.314815,23.1,TRUE
1,5,1,28.5,TRUE
1,13,0.361111,4.833333,FALSE
1,31,0.5,24.6,FALSE
1,21,0.6,37,FALSE
1,8,0.428571,14.285714,FALSE
1,4,1,5.333333,FALSE
2,16,0.75,24,TRUE
3,8,0.555556,15,FALSE
2,4,0.75,4,FALSE
2,36,0.666667,89.25,TRUE
3,24,0.5,46,FALSE
1,35,0.666667,64.333333,FALSE
3,19,0.75,30.6,FALSE
2,33,0.625,39.4,FALSE
2,31,0.555556,74,FALSE
1,19,0.583333,27.4,FALSE
3,4,0.75,3.5,FALSE
2,14,0.75,22,FALSE
1,22,0.6,32.333333,FALSE
1,1,1,0,FALSE
2,9,0.75,9,FALSE
1,22,0.6,31,FALSE
3,29,0.666667,52.75,FALSE
3,28,0.555556,46.333333,FALSE
3,29,0.666667,51.25,FALSE
3,27,0.555556,47.333333,FALSE
1,2,0.75,0,FALSE
1,3,0.666667,0,FALSE
1,22,0.5,23.333333,FALSE
1,2,1,3,FALSE
1,2,1,3,FALSE
1,2,1,3,FALSE
1,2,1,3,FALSE
3,9,0.666667,6.25,FALSE
3,9,0.666667,6.25,FALSE
3,9,0.666667,6.25,FALSE
1,29,0.5,46.333333,FALSE
3,9,0.666667,6.5,FALSE
3,9,0.666667,6.5,FALSE
3,5,0.5,6,FALSE
2,29,0.555556,37.75,FALSE
1,26,0.583333,28.8,TRUE
2,28,0.666667,62.75,FALSE
1,22,0.333333,29.5,FALSE
1,26,0.5,51.333333,FALSE
2,31,0.555556,47,TRUE
1,1,1,0,FALSE
1,1,1,0,FALSE
1,1,1,0,FALSE
1,1,1,0,FALSE
2,27,0.666667,40,FALSE
1,37,0.266667,34.5,TRUE
2,21,0.555556,34.666667,FALSE
2,8,0.666667,5.5,FALSE
1,25,0.333333,34.75,FALSE
2,25,0.555556,51,FALSE
1,2,0.833333,0,TRUE
1,21,0.4,31.75,FALSE
1,6,0.5,9.5,FALSE
1,16,0.333333,17.75,TRUE
1,1,1,0,FALSE
1,1,1,0,FALSE
1,1,1,0,FALSE
1,28,0.3125,23.2,FALSE
1,8,0.5,5.666667,FALSE
3,12,0.555556,10,FALSE
1,1,1,0,FALSE
2,22,0.666667,42,FALSE
1,18,0.5,28,FALSE
2,16,0.555556,17.666667,FALSE
2,24,0.555556,30.333333,FALSE
2,29,0.666667,34,FALSE
2,27,0.555556,41.666667,FALSE
1,23,0.333333,23.25,FALSE
2,15,0.555556,15.666667,FALSE
2,29,0.666667,51.75,FALSE
3,14,0.555556,14,FALSE
3,14,0.555556,14,FALSE
2,16,0.666667,21.5,FALSE
2,13,0.555556,12.666667,FALSE
2,30,0.666667,38,FALSE
2,25,0.555556,45.333333,FALSE
3,15,0.555556,14.333333,FALSE
3,15,0.555556,14.333333,FALSE
3,15,0.555556,14.333333,FALSE
1,8,0.5,15.5,TRUE
2,19,0.666667,14.75,FALSE
2,24,0.555556,37,FALSE
2,11,0.666667,10.75,FALSE
1,11,0.5,7.333333,FALSE
2,21,0.555556,35.666667,FALSE
2,19,0.555556,28.333333,FALSE
2,29,0.666667,32,FALSE
1,15,0.5,15.333333,TRUE
1,4,0.6875,0,FALSE
1,2,0.666667,0,FALSE
1,4,0.7,0,FALSE
1,17,0.566667,19.571429,FALSE
2,29,0.666667,46.25,FALSE
2,25,0.666667,51.5,FALSE
2,27,0.666667,36.25,TRUE
1,2,0.75,0,FALSE
1,3,0.666667,0,FALSE
1,3,0.666667,0,FALSE
1,2,0.75,0,FALSE
1,14,0.583333,20.75,TRUE
