Project,Precision,Recall,Auc_Score,Accuracy,Fmeasure,GMean
camel-1.6.csv,0.6781609195402298,0.31382978723404253,0.7322010460308332,0.8373056994818653,0.4290909090909091,0.4613318730477583
e-learning.csv,0.6666666666666666,0.4,0.7389830508474576,0.9375,0.5,0.5163977794943222
intercafe.csv,1.0,0.25,0.7934782608695652,0.8888888888888888,0.4,0.5
ivy-2.0.csv,0.8333333333333334,0.625,0.905488782051282,0.8979591836734694,0.7142857142857143,0.7216878364870323
jedit-4.3.csv,1.0,0.09090909090909091,0.7105462105462105,0.9796747967479674,0.16666666666666669,0.30151134457776363
kalkulator.csv,1.0,0.9166666666666666,0.9206349206349206,0.9696969696969697,0.9565217391304348,0.9574271077563381
log4j-1.2.csv,0.945,1.0,0.6746031746031746,0.9463414634146341,0.9717223650385605,0.972111104761179
lucene-2.4.csv,0.8279569892473119,0.7586206896551724,0.8237388083851713,0.7617647058823529,0.7917737789203085,0.7925309471481955
poi-2.5.csv,0.9241071428571429,0.8346774193548387,0.9377648928655521,0.8888888888888888,0.8771186440677966,0.8782547268346316
prop-6.csv,0.46296296296296297,0.3787878787878788,0.7174012855831038,0.8939393939393939,0.4166666666666667,0.41876575635800506
redaktor.csv,0.7777777777777778,0.5185185185185185,0.7821277653492418,0.9034090909090909,0.6222222222222222,0.6350528962771202
serapion.csv,1.0,0.4444444444444444,0.8333333333333333,0.8888888888888888,0.6153846153846153,0.6666666666666666
sklebagd.csv,0.9166666666666666,0.9166666666666666,0.8020833333333333,0.9,0.9166666666666666,0.9166666666666666
synapse-1.2.csv,0.8855421686746988,0.8546511627906976,0.9020348837209302,0.8713450292397661,0.8698224852071005,0.8699595646683974
systemdata.csv,0.75,0.3333333333333333,0.6884920634920635,0.8923076923076924,0.46153846153846156,0.5
szybkafucha.csv,0.7692307692307693,0.7142857142857143,0.7077922077922079,0.72,0.7407407407407408,0.7412493166611012
termoproject.csv,0.875,0.8076923076923077,0.9005305039787799,0.8545454545454545,0.8400000000000001,0.8406728074767075
tomcat.csv,0.5862068965517241,0.22077922077922077,0.7651113291318156,0.916083916083916,0.3207547169811321,0.35975311233691215
velocity-1.6.csv,0.746031746031746,0.6025641025641025,0.8059942265240279,0.7947598253275109,0.6666666666666666,0.6704714382670969
workflow.csv,0.7777777777777778,0.7,0.8105263157894738,0.7435897435897436,0.7368421052631577,0.7378647873726218
wspomaganiepi.csv,0.9,0.75,0.9166666666666666,0.8333333333333334,0.8181818181818182,0.8215838362577492
xalan-2.7.csv,0.9944629014396457,1.0,0.9458392387122899,0.9945652173913043,0.9972237645752361,0.9972276076401243
xerces-1.4.csv,0.9407894736842105,0.9816933638443935,0.9492930425689909,0.9404761904761905,0.9608062709966405,0.961023820251324
zuzel.csv,0.8333333333333334,0.7692307692307693,0.7884615384615385,0.8275862068965517,0.8,0.8006407690254357
